data_type,category,reference_unit,upenn__total_number_of_stays,upenn__total_observations,upenn__total_distinct_observations,upenn__mean_icu_los_days,upenn__mean_icu_los_hours,upenn__whole_stay_mean,upenn__whole_stay_median,upenn__whole_stay_iqr,upenn__first_24hr_mean,upenn__first_24hr_median,upenn__first_24hr_iqr,upenn__first_48hr_mean,upenn__first_48hr_median,upenn__first_48hr_iqr,upenn__first_72hr_mean,upenn__first_72hr_median,upenn__first_72hr_iqr,nu__total_number_of_stays,nu__total_observations,nu__total_distinct_observations,nu__mean_icu_los_days,nu__mean_icu_los_hours,nu__whole_stay_mean,nu__whole_stay_median,nu__whole_stay_iqr,nu__first_24hr_mean,nu__first_24hr_median,nu__first_24hr_iqr,nu__first_48hr_mean,nu__first_48hr_median,nu__first_48hr_iqr,nu__first_72hr_mean,nu__first_72hr_median,nu__first_72hr_iqr,jhu__total_number_of_stays,jhu__total_observations,jhu__total_distinct_observations,jhu__mean_icu_los_days,jhu__mean_icu_los_hours,jhu__whole_stay_mean,jhu__whole_stay_median,jhu__whole_stay_iqr,jhu__first_24hr_mean,jhu__first_24hr_median,jhu__first_24hr_iqr,jhu__first_48hr_mean,jhu__first_48hr_median,jhu__first_48hr_iqr,jhu__first_72hr_mean,jhu__first_72hr_median,jhu__first_72hr_iqr,rush__total_number_of_stays,rush__total_observations,rush__total_distinct_observations,rush__mean_icu_los_days,rush__mean_icu_los_hours,rush__whole_stay_mean,rush__whole_stay_median,rush__whole_stay_iqr,rush__first_24hr_mean,rush__first_24hr_median,rush__first_24hr_iqr,rush__first_48hr_mean,rush__first_48hr_median,rush__first_48hr_iqr,rush__first_72hr_mean,rush__first_72hr_median,rush__first_72hr_iqr,ohsu__total_number_of_stays,ohsu__total_observations,ohsu__total_distinct_observations,ohsu__mean_icu_los_days,ohsu__mean_icu_los_hours,ohsu__whole_stay_mean,ohsu__whole_stay_median,ohsu__whole_stay_iqr,ohsu__first_24hr_mean,ohsu__first_24hr_median,ohsu__first_24hr_iqr,ohsu__first_48hr_mean,ohsu__first_48hr_median,ohsu__first_48hr_iqr,ohsu__first_72hr_mean,ohsu__first_72hr_median,ohsu__first_72hr_iqr,ucmc__total_number_of_stays,ucmc__total_observations,ucmc__total_distinct_observations,ucmc__mean_icu_los_days,ucmc__mean_icu_los_hours,ucmc__whole_stay_mean,ucmc__whole_stay_median,ucmc__whole_stay_iqr,ucmc__first_24hr_mean,ucmc__first_24hr_median,ucmc__first_24hr_iqr,ucmc__first_48hr_mean,ucmc__first_48hr_median,ucmc__first_48hr_iqr,ucmc__first_72hr_mean,ucmc__first_72hr_median,ucmc__first_72hr_iqr,umn__total_number_of_stays,umn__total_observations,umn__total_distinct_observations,umn__mean_icu_los_days,umn__mean_icu_los_hours,umn__whole_stay_mean,umn__whole_stay_median,umn__whole_stay_iqr,umn__first_24hr_mean,umn__first_24hr_median,umn__first_24hr_iqr,umn__first_48hr_mean,umn__first_48hr_median,umn__first_48hr_iqr,umn__first_72hr_mean,umn__first_72hr_median,umn__first_72hr_iqr,emory__total_number_of_stays,emory__total_observations,emory__total_distinct_observations,emory__mean_icu_los_days,emory__mean_icu_los_hours,emory__whole_stay_mean,emory__whole_stay_median,emory__whole_stay_iqr,emory__first_24hr_mean,emory__first_24hr_median,emory__first_24hr_iqr,emory__first_48hr_mean,emory__first_48hr_median,emory__first_48hr_iqr,emory__first_72hr_mean,emory__first_72hr_median,emory__first_72hr_iqr,umich__total_number_of_stays,umich__total_observations,umich__total_distinct_observations,umich__mean_icu_los_days,umich__mean_icu_los_hours,umich__whole_stay_mean,umich__whole_stay_median,umich__whole_stay_iqr,umich__first_24hr_mean,umich__first_24hr_median,umich__first_24hr_iqr,umich__first_48hr_mean,umich__first_48hr_median,umich__first_48hr_iqr,umich__first_72hr_mean,umich__first_72hr_median,umich__first_72hr_iqr,mimic_iv__total_number_of_stays,mimic_iv__total_observations,mimic_iv__total_distinct_observations,mimic_iv__mean_icu_los_days,mimic_iv__mean_icu_los_hours,mimic_iv__whole_stay_mean,mimic_iv__whole_stay_median,mimic_iv__whole_stay_iqr,mimic_iv__first_24hr_mean,mimic_iv__first_24hr_median,mimic_iv__first_24hr_iqr,mimic_iv__first_48hr_mean,mimic_iv__first_48hr_median,mimic_iv__first_48hr_iqr,mimic_iv__first_72hr_mean,mimic_iv__first_72hr_median,mimic_iv__first_72hr_iqr
labs,platelet_count,10^3/µL,,,,,,,,,,,,,,,,,,100370,629167,624657,3.06,73.4,6.27,3.0,4.0,2.37,2.0,2.0,3.45,2.0,3.0,4.11,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55328,335471,335243,2.83,67.97,6.06,3.0,5.0,2.68,2.0,2.0,3.77,3.0,2.0,4.39,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51750,358636,358288,3.79,91.02,6.93,3.0,5.0,2.31,2.0,2.0,3.47,3.0,2.0,4.21,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labs,phosphate,mg/dL,,,,,,,,,,,,,,,,,,58348,460029,455743,3.58,85.9,7.88,3.0,6.0,2.47,2.0,2.0,3.76,2.0,3.0,4.61,3.0,4.0,,,,,,,,,,,,,,,,,,40473,215222,214977,3.64,87.42,5.32,3.0,4.0,1.85,1.0,1.0,2.79,2.0,2.0,3.4,3.0,3.0,50076,332928,332063,3.01,72.31,6.65,3.0,5.0,2.39,2.0,2.0,3.61,2.0,3.0,4.38,3.0,3.0,38319,365279,364708,3.83,91.95,9.53,4.0,8.0,2.92,2.0,3.0,4.47,3.0,3.0,5.49,4.0,5.0,,,,,,,,,,,,,,,,,,45837,282281,282180,4.04,96.87,6.16,3.0,5.0,1.99,2.0,1.0,3.02,2.0,2.0,3.69,3.0,2.0,48740,534592,534314,4.38,105.1,10.97,5.0,9.0,2.94,2.0,2.0,4.57,4.0,4.0,5.74,4.0,5.0,78054,521842,521812,3.33,79.83,6.69,3.0,5.0,2.27,2.0,2.0,3.41,3.0,2.0,4.11,3.0,3.0
labs,glucose_fingerstick,mg/dL,,,,,,,,,,,,,,,,,,1,1,1,4.12,99.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,36640,869400,769623,3.76,90.13,23.73,9.0,21.0,7.23,4.0,6.0,11.5,7.0,10.0,14.21,8.0,13.0,45339,967432,948424,3.1,74.39,21.34,7.0,21.0,7.88,4.0,9.0,12.1,6.0,14.0,14.6,6.0,16.0,33893,645520,635713,4.1,98.37,19.05,7.0,17.0,5.84,4.0,5.0,8.82,5.0,9.0,10.77,6.0,10.0,,,,,,,,,,,,,,,,,,53167,1683696,1667277,3.67,88.02,31.67,14.0,26.0,10.05,7.0,8.0,15.31,11.0,14.0,18.67,13.0,17.0,39976,1073647,1072577,4.87,116.83,26.86,11.0,24.0,6.99,4.0,10.0,11.39,7.0,14.0,14.25,9.0,17.0,,,,,,,,,,,,,,,,,
labs,wbc,10^3/µL,,,,,,,,,,,,,,,,,,100362,627056,622792,3.06,73.43,6.25,3.0,4.0,2.35,2.0,2.0,3.43,2.0,3.0,4.09,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55393,338891,338656,2.83,67.88,6.12,3.0,5.0,2.71,2.0,2.0,3.8,3.0,2.0,4.43,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51683,347396,347251,3.8,91.17,6.72,3.0,5.0,2.23,2.0,2.0,3.36,2.0,2.0,4.08,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labs,magnesium,mg/dL,,,,,,,,,,,,,,,,,,84759,598225,593685,3.31,79.45,7.06,3.0,4.0,2.36,2.0,2.0,3.56,2.0,3.0,4.34,3.0,4.0,90190,626107,625999,3.94,94.51,6.94,3.0,5.0,2.1,2.0,2.0,3.25,2.0,3.0,4.03,3.0,4.0,46797,268602,268434,3.49,83.82,5.74,3.0,4.0,1.97,2.0,1.0,3.01,2.0,1.0,3.68,3.0,2.0,50724,298866,298649,3.01,72.23,5.89,3.0,4.0,2.2,2.0,2.0,3.24,2.0,3.0,3.9,3.0,3.0,38405,358337,358020,3.82,91.79,9.33,4.0,8.0,2.9,2.0,3.0,4.43,3.0,3.0,5.43,4.0,5.0,,,,,,,,,,,,,,,,,,50221,341243,341151,3.87,92.88,6.79,4.0,5.0,2.22,2.0,2.0,3.37,3.0,2.0,4.1,3.0,3.0,49014,559350,559113,4.36,104.57,11.41,5.0,10.0,3.06,3.0,2.0,4.76,4.0,4.0,5.97,5.0,6.0,79713,551482,551461,3.28,78.71,6.92,3.0,5.0,2.36,2.0,2.0,3.55,3.0,2.0,4.28,3.0,3.0
labs,bilirubin_conjugated,mg/dL,,,,,,,,,,,,,,,,,,25425,109124,108043,4.83,116.01,4.29,1.0,3.0,1.27,1.0,0.0,1.9,1.0,1.0,2.35,1.0,2.0,13636,33271,33230,6.74,161.7,2.44,1.0,1.0,0.76,1.0,1.0,1.15,1.0,1.0,1.41,1.0,0.0,6855,11234,11225,5.59,134.15,1.64,1.0,1.0,0.74,1.0,1.0,1.01,1.0,0.0,1.17,1.0,0.0,11290,32382,32322,5.18,124.2,2.87,1.0,2.0,0.98,1.0,1.0,1.46,1.0,1.0,1.78,1.0,1.0,19467,84720,84604,5.06,121.52,4.35,2.0,4.0,1.43,1.0,1.0,2.08,1.0,1.0,2.53,2.0,2.0,,,,,,,,,,,,,,,,,,8766,24369,24333,7.21,173.07,2.78,1.0,1.0,0.84,1.0,1.0,1.26,1.0,0.0,1.56,1.0,1.0,11277,29436,29066,7.9,189.65,2.61,1.0,2.0,0.83,1.0,1.0,1.23,1.0,1.0,1.5,1.0,1.0,5986,12963,12962,7.11,170.75,2.17,1.0,1.0,0.89,1.0,1.0,1.24,1.0,1.0,1.45,1.0,1.0
labs,chloride,mmol/L,,,,,,,,,,,,,,,,,,102063,775550,768774,3.03,72.74,7.6,3.0,5.0,2.73,2.0,2.0,4.04,3.0,3.0,4.86,3.0,3.0,100649,876675,870948,3.47,83.25,8.71,4.0,7.0,3.1,2.0,2.0,4.56,3.0,3.0,5.49,4.0,5.0,52844,375585,374052,3.26,78.19,7.11,4.0,6.0,2.64,2.0,2.0,3.93,3.0,3.0,4.73,3.0,4.0,56335,454667,449134,2.8,67.28,8.07,4.0,6.0,3.26,2.0,3.0,4.66,3.0,3.0,5.53,4.0,4.0,40191,456098,454363,3.72,89.22,11.35,5.0,10.0,3.76,3.0,3.0,5.57,4.0,5.0,6.75,5.0,6.0,,,,,,,,,,,,,,,,,,52517,595956,594265,3.74,89.8,11.35,5.0,8.0,4.05,2.0,4.0,5.83,3.0,4.0,6.97,4.0,5.0,49397,1109017,1107457,4.32,103.63,22.45,8.0,17.0,6.67,5.0,7.0,9.86,7.0,10.0,12.09,8.0,13.0,,,,,,,,,,,,,,,,,
labs,alkaline_phosphatase,U/L,,,,,,,,,,,,,,,,,,62759,285648,282811,3.68,88.33,4.55,2.0,3.0,1.7,1.0,1.0,2.42,2.0,2.0,2.87,2.0,2.0,87671,570973,568656,3.85,92.34,6.51,3.0,5.0,2.31,2.0,2.0,3.36,2.0,3.0,4.05,3.0,4.0,39007,195990,194770,3.69,88.52,5.02,2.0,4.0,1.92,1.0,1.0,2.74,2.0,2.0,3.28,2.0,3.0,28767,89368,89159,3.51,84.22,3.11,1.0,2.0,1.59,1.0,1.0,2.04,1.0,1.0,2.31,1.0,2.0,24190,127700,127475,4.71,112.92,5.28,2.0,4.0,1.84,1.0,1.0,2.62,2.0,2.0,3.15,2.0,3.0,,,,,,,,,,,,,,,,,,37446,177377,177242,4.38,105.21,4.74,2.0,4.0,1.69,1.0,1.0,2.44,2.0,2.0,2.93,2.0,3.0,13547,96223,96123,5.33,127.89,7.1,3.0,6.0,2.11,2.0,2.0,3.08,2.0,3.0,3.78,3.0,4.0,,,,,,,,,,,,,,,,,
labs,procalcitonin,ng/mL,,,,,,,,,,,,,,,,,,20167,43818,43439,5.76,138.35,2.17,1.0,1.0,0.93,1.0,0.0,1.18,1.0,0.0,1.36,1.0,1.0,6884,11485,11430,5.89,141.43,1.67,1.0,1.0,0.95,1.0,0.0,1.14,1.0,0.0,1.25,1.0,1.0,1180,1438,1437,9.6,230.42,1.22,1.0,0.0,0.61,1.0,1.0,0.74,1.0,1.0,0.82,1.0,1.0,1590,2174,2174,5.53,132.79,1.37,1.0,0.0,0.8,1.0,0.0,0.94,1.0,0.0,1.03,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9639,15171,15160,6.19,148.62,1.57,1.0,1.0,0.86,1.0,0.0,1.04,1.0,0.0,1.15,1.0,0.0,7621,14357,14348,7.86,188.66,1.88,1.0,1.0,0.88,1.0,1.0,1.07,1.0,0.0,1.21,1.0,0.0,,,,,,,,,,,,,,,,,
labs,basophils_absolute,10^3/µL,,,,,,,,,,,,,,,,,,56941,229591,227536,3.71,88.97,4.03,2.0,3.0,1.35,1.0,1.0,2.03,1.0,1.0,2.47,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19716,68165,68009,3.89,93.48,3.46,1.0,2.0,1.47,1.0,1.0,2.0,1.0,1.0,2.33,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9255,27758,27739,6.49,155.8,3.0,1.0,2.0,0.92,1.0,1.0,1.36,1.0,1.0,1.66,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labs,glucose_serum,mg/dL,,,,,,,,,,,,,,,,,,102057,776122,769296,3.03,72.75,7.6,3.0,5.0,2.73,2.0,2.0,4.04,3.0,3.0,4.86,3.0,3.0,111990,943939,938118,3.46,83.07,8.43,4.0,7.0,3.0,2.0,2.0,4.42,3.0,3.0,5.32,4.0,4.0,52950,402560,400892,3.25,77.99,7.6,4.0,6.0,2.96,2.0,3.0,4.3,3.0,3.0,5.13,4.0,4.0,56361,436932,431889,2.8,67.23,7.75,4.0,6.0,3.17,2.0,3.0,4.51,3.0,3.0,5.34,4.0,4.0,40168,436391,435325,3.72,89.31,10.86,5.0,9.0,3.5,3.0,2.0,5.25,4.0,5.0,6.39,4.0,6.0,,,,,,,,,,,,,,,,,,861,1991,1989,5.83,139.94,2.31,1.0,1.0,1.71,1.0,2.0,1.94,1.0,1.0,2.04,1.0,1.0,49409,1137363,1135616,4.31,103.51,23.02,9.0,18.0,6.91,5.0,7.0,10.19,7.0,10.0,12.46,8.0,12.0,81146,745799,745683,3.2,76.82,9.19,4.0,8.0,3.7,2.0,4.0,5.09,3.0,5.0,5.95,4.0,6.0
labs,crp,mg/L,,,,,,,,,,,,,,,,,,9414,27905,27764,5.48,131.62,2.96,1.0,1.0,0.91,1.0,0.0,1.27,1.0,0.0,1.53,1.0,1.0,815,1593,1593,6.94,166.52,1.95,1.0,1.0,0.73,1.0,1.0,1.04,1.0,0.0,1.27,1.0,1.0,4060,9145,9137,6.1,146.38,2.25,1.0,1.0,0.85,1.0,1.0,1.13,1.0,0.0,1.32,1.0,0.0,3137,4977,4975,5.43,130.26,1.59,1.0,0.0,0.71,1.0,1.0,0.93,1.0,0.0,1.09,1.0,0.0,5107,13368,13362,7.26,174.24,2.62,1.0,1.0,0.78,1.0,1.0,1.08,1.0,0.0,1.32,1.0,0.0,,,,,,,,,,,,,,,,,,3006,4186,4185,7.56,181.54,1.39,1.0,0.0,0.68,1.0,1.0,0.88,1.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,3661,6115,6110,6.65,159.49,1.67,1.0,0.0,0.74,1.0,1.0,1.0,1.0,0.0,1.15,1.0,0.0
labs,ferritin,ng/mL,,,,,,,,,,,,,,,,,,10892,22632,22477,5.72,137.25,2.08,1.0,0.0,0.73,1.0,1.0,1.01,1.0,0.0,1.19,1.0,0.0,15013,20583,20566,5.81,139.46,1.37,1.0,0.0,0.77,1.0,1.0,0.93,1.0,0.0,1.02,1.0,0.0,7891,12213,12209,5.26,126.27,1.55,1.0,0.0,0.75,1.0,1.0,0.97,1.0,0.0,1.09,1.0,0.0,3283,4384,4380,5.83,140.02,1.34,1.0,0.0,0.63,1.0,1.0,0.84,1.0,0.0,0.97,1.0,0.0,5722,9175,9173,6.54,156.87,1.6,1.0,0.0,0.72,1.0,1.0,0.93,1.0,0.0,1.06,1.0,0.0,,,,,,,,,,,,,,,,,,5936,6693,6693,6.56,157.48,1.13,1.0,0.0,0.6,1.0,1.0,0.8,1.0,0.0,0.89,1.0,0.0,5670,8577,8573,8.71,208.92,1.51,1.0,0.0,0.64,1.0,1.0,0.85,1.0,1.0,0.99,1.0,0.0,7163,9577,9572,6.34,152.07,1.34,1.0,0.0,0.69,1.0,1.0,0.87,1.0,0.0,0.98,1.0,0.0
labs,bicarbonate,mmol/L,,,,,,,,,,,,,,,,,,102012,773486,766724,3.03,72.78,7.58,3.0,5.0,2.72,2.0,2.0,4.03,3.0,3.0,4.85,3.0,3.0,100436,872557,866991,3.47,83.23,8.69,4.0,7.0,3.08,2.0,2.0,4.54,3.0,3.0,5.47,4.0,5.0,52849,398949,389383,3.26,78.17,7.55,4.0,6.0,2.73,2.0,2.0,4.05,3.0,3.0,4.87,4.0,4.0,56249,433251,428475,2.81,67.46,7.7,4.0,6.0,3.02,2.0,3.0,4.38,3.0,3.0,5.23,3.0,4.0,40090,420691,419797,3.73,89.45,10.49,5.0,9.0,3.32,2.0,2.0,5.01,4.0,4.0,6.13,4.0,6.0,,,,,,,,,,,,,,,,,,25728,233741,231447,5.16,123.76,9.09,3.0,6.0,3.57,2.0,3.0,4.77,2.0,4.0,5.56,2.0,5.0,49319,606931,606012,4.33,103.95,12.31,5.0,10.0,3.31,3.0,2.0,5.14,4.0,4.0,6.45,5.0,5.0,,,,,,,,,,,,,,,,,
labs,monocytes_absolute,10^3/µL,,,,,,,,,,,,,,,,,,58987,244332,242240,3.66,87.93,4.14,2.0,3.0,1.39,1.0,1.0,2.09,2.0,1.0,2.55,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19723,68216,68060,3.9,93.5,3.46,1.0,2.0,1.47,1.0,1.0,2.0,1.0,1.0,2.33,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9256,27776,27751,6.49,155.79,3.0,1.0,2.0,0.92,1.0,1.0,1.36,1.0,1.0,1.66,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
