labs,bun,mg/dL,,,,,,,,,,,,,,,,,,102019,773538,766792,3.03,72.77,7.58,3.0,5.0,2.71,2.0,2.0,4.02,3.0,3.0,4.84,3.0,3.0,111988,943462,937697,3.46,83.08,8.42,4.0,7.0,3.0,2.0,2.0,4.42,3.0,3.0,5.32,4.0,4.0,52844,375583,374049,3.26,78.19,7.11,4.0,6.0,2.64,2.0,2.0,3.93,3.0,3.0,4.73,3.0,4.0,56259,419298,415038,2.81,67.45,7.45,4.0,6.0,2.96,2.0,2.0,4.28,3.0,3.0,5.09,3.0,4.0,40104,422025,420989,3.73,89.42,10.52,5.0,9.0,3.34,2.0,2.0,5.04,4.0,4.0,6.15,4.0,6.0,,,,,,,,,,,,,,,,,,52369,388029,387861,3.76,90.35,7.41,4.0,6.0,2.53,2.0,2.0,3.8,3.0,2.0,4.6,3.0,3.0,49331,634697,633729,4.33,103.92,12.87,5.0,10.0,3.36,3.0,2.0,5.24,4.0,5.0,6.6,5.0,6.0,81013,564469,564435,3.23,77.62,6.97,3.0,5.0,2.5,2.0,2.0,3.67,3.0,3.0,4.38,3.0,4.0
labs,inr,(no units),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33413,99605,99547,3.18,76.44,2.98,1.0,2.0,1.7,1.0,1.0,2.08,1.0,1.0,2.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25538,98149,97913,4.76,114.18,3.84,1.0,2.0,1.65,1.0,1.0,2.18,1.0,1.0,2.52,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labs,pco2_arterial,mmHg,,,,,,,,,,,,,,,,,,41708,446558,431378,4.31,103.55,10.71,4.0,7.0,4.61,3.0,5.0,6.01,3.0,6.0,6.93,3.0,7.0,,,,,,,,,,,,,,,,,,19191,156282,156072,5.24,125.86,8.14,3.0,7.0,3.34,2.0,4.0,4.46,2.0,5.0,5.17,2.0,6.0,21162,143019,142037,4.19,100.49,6.76,2.0,5.0,2.94,2.0,2.0,3.86,2.0,3.0,4.44,2.0,4.0,20037,586569,298027,5.07,121.64,29.27,12.0,24.0,9.53,8.0,8.0,13.7,10.0,14.0,16.55,10.0,18.0,,,,,,,,,,,,,,,,,,52542,586047,584985,3.74,89.72,11.15,5.0,8.0,4.06,3.0,4.0,5.81,4.0,5.0,6.92,4.0,6.0,5599,23655,23370,8.48,203.48,4.22,2.0,5.0,2.0,1.0,3.0,2.72,1.0,2.0,3.08,2.0,3.0,12356,26617,26571,7.09,170.1,2.15,1.0,1.0,0.9,1.0,1.0,1.2,1.0,0.0,1.39,1.0,1.0
labs,bilirubin_unconjugated,mg/dL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,119,119,6.92,166.16,1.2,1.0,0.0,0.4,0.0,1.0,0.58,1.0,1.0,0.71,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17508,74823,74720,5.16,123.75,4.27,2.0,3.0,1.4,1.0,1.0,2.06,1.0,1.0,2.51,2.0,2.0,,,,,,,,,,,,,,,,,,7568,21500,21467,7.41,177.82,2.84,1.0,1.0,0.83,1.0,1.0,1.26,1.0,0.0,1.56,1.0,1.0,2390,4250,4247,10.1,242.47,1.78,1.0,1.0,0.51,0.0,1.0,0.74,1.0,1.0,0.91,1.0,1.0,5390,11491,11491,7.18,172.29,2.13,1.0,1.0,0.89,1.0,1.0,1.23,1.0,1.0,1.44,1.0,1.0
labs,po2_arterial,mmHg,,,,,,,,,,,,,,,,,,42326,453978,436038,4.34,104.08,10.73,4.0,7.0,4.6,3.0,5.0,6.01,3.0,6.0,6.93,3.0,7.0,,,,,,,,,,,,,,,,,,19218,165347,164776,5.25,126.02,8.6,3.0,7.0,3.39,2.0,4.0,4.54,2.0,5.0,5.27,2.0,6.0,21092,142618,141641,4.19,100.61,6.76,2.0,5.0,2.94,2.0,2.0,3.86,2.0,3.0,4.44,2.0,4.0,20133,587223,298635,5.06,121.49,29.17,12.0,24.0,9.51,8.0,8.0,13.66,10.0,14.0,16.5,10.0,18.0,,,,,,,,,,,,,,,,,,25851,242551,239723,5.15,123.53,9.38,3.0,6.0,3.71,2.0,3.0,4.96,2.0,4.0,5.79,2.0,5.0,5600,23663,23376,8.48,203.44,4.23,2.0,5.0,2.0,1.0,3.0,2.72,1.0,2.0,3.08,2.0,3.0,12254,26273,26226,7.1,170.43,2.14,1.0,1.0,0.9,1.0,1.0,1.19,1.0,0.0,1.39,1.0,1.0
labs,pco2_venous,mmHg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18685,149022,148792,4.66,111.74,7.98,3.0,7.0,3.57,2.0,4.0,4.82,3.0,5.0,5.6,3.0,6.0,8081,23274,23206,5.26,126.29,2.88,1.0,1.0,1.26,1.0,0.0,1.61,1.0,1.0,1.79,1.0,1.0,12160,43849,43772,4.74,113.72,3.61,1.0,2.0,1.55,1.0,1.0,1.96,1.0,1.0,2.25,1.0,1.0,15873,190568,98818,5.3,127.3,12.01,6.0,10.0,4.59,4.0,4.0,6.46,4.0,6.0,7.72,4.0,8.0,,,,,,,,,,,,,,,,,,4146,35344,35304,6.62,158.77,8.52,2.0,6.0,2.69,1.0,2.0,3.91,2.0,3.0,4.79,2.0,4.0,714,1104,1092,10.17,244.14,1.55,1.0,1.0,0.59,0.0,1.0,0.84,1.0,1.0,1.01,1.0,1.0,21582,71032,71029,4.64,111.46,3.29,2.0,3.0,1.72,1.0,1.0,2.18,1.0,2.0,2.42,1.0,2.0
labs,eosinophils_absolute,10^3/µL,,,,,,,,,,,,,,,,,,57531,233851,231776,3.7,88.88,4.06,2.0,3.0,1.35,1.0,1.0,2.04,1.0,1.0,2.48,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19716,68167,68011,3.9,93.5,3.46,1.0,2.0,1.47,1.0,1.0,2.0,1.0,1.0,2.33,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9260,27768,27747,6.49,155.72,3.0,1.0,2.0,0.92,1.0,1.0,1.36,1.0,1.0,1.66,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labs,calcium_total,mg/dL,,,,,,,,,,,,,,,,,,102016,773852,766866,3.03,72.77,7.59,3.0,5.0,2.71,2.0,2.0,4.02,3.0,3.0,4.85,3.0,3.0,111998,946141,940266,3.46,83.07,8.45,4.0,7.0,3.01,2.0,3.0,4.43,3.0,3.0,5.34,4.0,5.0,52849,496940,375709,3.26,78.18,9.4,5.0,8.0,3.5,2.0,2.0,5.17,4.0,4.0,6.23,4.0,6.0,56218,417257,413055,2.81,67.52,7.42,4.0,6.0,2.94,2.0,2.0,4.25,3.0,3.0,5.06,3.0,4.0,40165,437822,436154,3.72,89.29,10.9,5.0,9.0,3.55,3.0,2.0,5.3,4.0,5.0,6.44,4.0,6.0,,,,,,,,,,,,,,,,,,1167,2703,2692,6.68,160.39,2.32,1.0,1.0,1.46,1.0,1.0,1.72,1.0,1.0,1.86,1.0,1.0,49327,606431,605569,4.33,103.93,12.29,5.0,10.0,3.3,3.0,2.0,5.13,4.0,4.0,6.44,5.0,5.0,77834,517607,517580,3.33,79.96,6.65,3.0,5.0,2.26,2.0,2.0,3.39,3.0,2.0,4.09,3.0,3.0
labs,bilirubin_total,mg/dL,,,,,,,,,,,,,,,,,,62820,286019,283162,3.68,88.34,4.55,2.0,3.0,1.71,1.0,1.0,2.42,2.0,2.0,2.88,2.0,2.0,87797,574276,571913,3.84,92.25,6.54,3.0,6.0,2.32,2.0,2.0,3.38,2.0,3.0,4.07,3.0,4.0,39044,197574,196027,3.69,88.49,5.06,2.0,4.0,1.94,1.0,1.0,2.76,2.0,2.0,3.31,2.0,3.0,28828,89864,89646,3.51,84.18,3.12,1.0,2.0,1.59,1.0,1.0,2.04,1.0,1.0,2.31,1.0,2.0,24348,130405,129564,4.69,112.51,5.36,2.0,4.0,1.86,1.0,1.0,2.65,2.0,2.0,3.19,2.0,3.0,,,,,,,,,,,,,,,,,,37513,179461,179367,4.38,105.15,4.78,2.0,4.0,1.71,1.0,1.0,2.46,2.0,2.0,2.96,2.0,3.0,34129,224141,220810,5.19,124.56,6.57,3.0,6.0,2.04,2.0,2.0,2.95,2.0,3.0,3.6,2.0,4.0,44019,162367,162351,4.25,102.01,3.69,2.0,3.0,1.46,1.0,1.0,2.04,1.0,1.0,2.4,2.0,2.0
labs,so2_arterial,%,55536,1265987,1166276,4.98,119.62,22.8,8.0,17.0,8.07,5.0,9.0,10.93,6.0,12.0,12.88,7.0,14.0,28716,267828,259967,4.33,103.97,9.33,3.0,7.0,4.1,2.0,4.0,5.35,3.0,5.0,6.16,3.0,6.0,,,,,,,,,,,,,,,,,,19218,165334,164763,5.25,126.01,8.6,3.0,7.0,3.39,2.0,4.0,4.54,2.0,5.0,5.27,2.0,6.0,20788,141171,140204,4.21,101.16,6.79,2.0,5.0,2.95,2.0,2.0,3.87,2.0,3.0,4.46,2.0,4.0,20067,380184,299109,5.07,121.62,18.95,7.0,17.0,6.2,4.0,6.0,8.91,6.0,9.0,10.77,6.0,11.0,18188,132366,116723,4.48,107.54,7.28,2.0,5.0,3.11,2.0,3.0,4.07,2.0,3.0,4.72,2.0,4.0,25205,179580,179391,5.19,124.6,7.12,2.0,5.0,2.93,2.0,2.0,3.87,2.0,3.0,4.47,2.0,4.0,31610,507137,507029,5.43,130.24,16.04,6.0,12.0,5.29,4.0,5.0,7.43,5.0,8.0,8.88,6.0,9.0,27763,200469,199636,5.03,120.82,7.22,3.0,5.0,2.99,2.0,3.0,4.05,2.0,4.0,4.73,2.0,4.0
labs,total_protein,g/dL,,,,,,,,,,,,,,,,,,63180,289737,286791,3.68,88.24,4.59,2.0,3.0,1.72,1.0,1.0,2.44,2.0,2.0,2.9,2.0,2.0,87743,573240,570883,3.84,92.23,6.53,3.0,6.0,2.32,2.0,2.0,3.38,2.0,3.0,4.07,3.0,4.0,39010,196089,194870,3.69,88.53,5.03,2.0,4.0,1.92,1.0,1.0,2.74,2.0,2.0,3.28,2.0,3.0,29176,92654,92438,3.59,86.07,3.18,1.0,2.0,1.6,1.0,1.0,2.05,1.0,1.0,2.33,1.0,2.0,24414,129656,129426,4.69,112.5,5.31,2.0,4.0,1.85,1.0,1.0,2.64,2.0,2.0,3.18,2.0,3.0,,,,,,,,,,,,,,,,,,39603,199536,199043,4.35,104.33,5.04,2.0,4.0,1.93,1.0,1.0,2.69,2.0,2.0,3.19,2.0,3.0,34108,220293,219996,5.19,124.53,6.46,3.0,6.0,2.01,2.0,2.0,2.91,2.0,3.0,3.55,2.0,4.0,2645,3036,3035,7.19,172.5,1.15,1.0,0.0,0.56,1.0,1.0,0.75,1.0,1.0,0.85,1.0,0.0
labs,albumin,g/dL,,,,,,,,,,,,,,,,,,64406,301702,297545,3.66,87.87,4.68,2.0,3.0,1.74,1.0,1.0,2.48,2.0,2.0,2.96,2.0,2.0,88007,590818,586793,3.84,92.23,6.71,3.0,6.0,2.34,2.0,2.0,3.43,2.0,3.0,4.14,3.0,4.0,39092,196348,195110,3.69,88.52,5.02,2.0,4.0,1.92,1.0,1.0,2.74,2.0,2.0,3.28,2.0,3.0,52596,381428,363684,2.91,69.76,7.25,3.0,5.0,2.79,2.0,2.0,4.05,3.0,3.0,4.85,3.0,4.0,24600,144122,143768,4.68,112.41,5.86,2.0,5.0,1.9,1.0,1.0,2.75,2.0,2.0,3.33,2.0,3.0,,,,,,,,,,,,,,,,,,39043,198904,198793,4.32,103.72,5.09,2.0,4.0,1.76,1.0,1.0,2.59,2.0,2.0,3.13,2.0,3.0,34294,225127,223704,5.19,124.46,6.56,3.0,6.0,2.03,2.0,2.0,2.94,2.0,3.0,3.59,2.0,4.0,32465,80925,80916,4.94,118.54,2.49,1.0,1.0,1.07,1.0,0.0,1.44,1.0,1.0,1.66,1.0,1.0
labs,ptt,sec,6998,31529,31511,4.66,111.86,4.51,2.0,4.0,1.72,1.0,1.0,2.44,2.0,2.0,2.93,2.0,3.0,35673,146687,145374,3.96,94.99,4.11,1.0,2.0,1.86,1.0,1.0,2.43,1.0,2.0,2.77,1.0,2.0,1,1,1,1.12,27.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,450,827,513,7.38,177.03,1.84,2.0,1.0,0.4,0.0,0.0,0.73,0.0,2.0,1.02,1.0,2.0,29941,102611,102546,3.25,77.92,3.43,1.0,2.0,1.82,1.0,1.0,2.26,1.0,1.0,2.52,1.0,1.0,23846,198918,198703,4.54,109.04,8.34,3.0,7.0,2.41,2.0,2.0,3.65,2.0,4.0,4.52,3.0,5.0,,,,,,,,,,,,,,,,,,16447,78898,78478,5.01,120.25,4.8,1.0,1.0,1.69,1.0,1.0,2.25,1.0,1.0,2.67,1.0,1.0,28803,130241,130010,5.34,128.26,4.52,2.0,3.0,1.67,1.0,1.0,2.27,2.0,2.0,2.67,2.0,2.0,71345,388301,388234,3.48,83.61,5.44,3.0,4.0,2.18,2.0,2.0,3.04,2.0,3.0,3.56,2.0,3.0
labs,esr,mm/hour,,,,,,,,,,,,,,,,,,5257,7099,7065,4.27,102.59,1.35,1.0,0.0,0.81,1.0,0.0,0.98,1.0,0.0,1.07,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1393,1634,1632,4.42,105.99,1.17,1.0,0.0,0.73,1.0,1.0,0.9,1.0,0.0,0.98,1.0,0.0,1926,3718,3716,6.77,162.54,1.93,1.0,0.0,0.76,1.0,1.0,1.03,1.0,0.0,1.2,1.0,0.0,,,,,,,,,,,,,,,,,,1751,2097,2097,6.75,162.08,1.2,1.0,0.0,0.71,1.0,1.0,0.88,1.0,0.0,0.96,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labs,lactate,mmol/L,,,,,,,,,,,,,,,,,,46606,374573,369356,3.88,93.03,8.04,3.0,6.0,3.9,2.0,4.0,5.06,2.0,4.0,5.76,2.0,5.0,70585,420831,419858,4.03,96.84,5.96,3.0,5.0,3.51,2.0,4.0,4.35,3.0,5.0,4.77,3.0,5.0,22606,153240,152988,4.56,109.45,6.78,2.0,5.0,3.16,2.0,3.0,4.17,2.0,4.0,4.76,2.0,5.0,26862,118821,118029,3.67,88.06,4.42,2.0,4.0,2.85,2.0,3.0,3.38,2.0,3.0,3.63,2.0,3.0,26028,176056,174987,4.42,106.03,6.76,3.0,6.0,3.33,2.0,3.0,4.36,3.0,4.0,4.92,3.0,5.0,,,,,,,,,,,,,,,,,,30283,248065,246170,4.75,114.09,8.19,3.0,5.0,3.49,2.0,3.0,4.6,2.0,4.0,5.29,2.0,4.0,37783,689625,685978,5.04,121.07,18.25,7.0,14.0,5.95,4.0,6.0,8.43,6.0,8.0,10.11,6.0,10.0,51962,322682,322644,4.01,96.23,6.21,3.0,5.0,3.11,2.0,3.0,3.96,2.0,4.0,4.45,3.0,4.0
labs,potassium,mmol/L,,,,,,,,,,,,,,,,,,102337,963358,949810,3.02,72.4,9.41,4.0,7.0,3.67,2.0,3.0,5.21,3.0,4.0,6.19,3.0,5.0,100835,1266801,1259863,3.45,82.81,12.56,5.0,9.0,4.56,3.0,3.0,6.63,4.0,6.0,7.96,5.0,6.0,52858,379989,378319,3.26,78.17,7.19,4.0,6.0,2.68,2.0,2.0,3.98,3.0,3.0,4.79,4.0,4.0,55654,465541,459831,2.83,68.0,8.36,4.0,7.0,3.35,2.0,3.0,4.81,3.0,4.0,5.71,4.0,5.0,40075,443668,442470,3.73,89.51,11.07,5.0,9.0,3.61,3.0,2.0,5.38,4.0,5.0,6.54,4.0,6.0,,,,,,,,,,,,,,,,,,52583,628246,626540,3.73,89.63,11.95,5.0,8.0,4.24,3.0,4.0,6.13,4.0,5.0,7.34,4.0,6.0,49409,1138245,1136404,4.31,103.51,23.04,9.0,18.0,6.92,5.0,7.0,10.2,7.0,10.0,12.47,8.0,12.0,,,,,,,,,,,,,,,,,
labs,troponin_t,ng/L,,,,,,,,,,,,,,,,,,2160,4018,4015,2.73,65.48,1.86,1.0,1.0,1.54,1.0,1.0,1.7,1.0,1.0,1.76,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15711,46383,46258,4.72,113.2,2.95,2.0,3.0,1.94,2.0,2.0,2.33,2.0,2.0,2.48,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29609,69305,69255,4.02,96.43,2.34,2.0,2.0,1.7,1.0,1.0,1.99,2.0,2.0,2.1,2.0,2.0
labs,hemoglobin,g/dL,,,,,,,,,,,,,,,,,,100786,779214,765839,3.04,72.95,7.73,3.0,5.0,3.14,2.0,2.0,4.42,2.0,3.0,5.2,3.0,4.0,111500,1205318,1198673,3.45,82.75,10.81,5.0,9.0,4.27,2.0,3.0,6.05,3.0,5.0,7.13,4.0,6.0,52629,346736,346396,3.25,78.03,6.59,4.0,5.0,2.59,2.0,2.0,3.77,3.0,2.0,4.49,3.0,3.0,55578,397983,396770,2.82,67.61,7.16,4.0,6.0,3.24,2.0,3.0,4.48,3.0,3.0,5.2,3.0,4.0,39972,653677,629403,3.73,89.44,16.35,6.0,14.0,5.6,3.0,5.0,8.11,4.0,8.0,9.74,5.0,10.0,,,,,,,,,,,,,,,,,,51952,590148,586715,3.77,90.44,11.36,4.0,8.0,4.03,2.0,3.0,5.79,3.0,4.0,6.93,4.0,5.0,49055,476265,473537,4.35,104.43,9.71,5.0,8.0,2.95,2.0,2.0,4.45,3.0,4.0,5.46,4.0,5.0,80802,590873,590068,3.22,77.16,7.31,4.0,6.0,3.18,2.0,3.0,4.34,3.0,4.0,5.02,4.0,4.0
labs,sodium,mmol/L,,,,,,,,,,,,,,,,,,102347,955802,941866,3.02,72.39,9.34,4.0,7.0,3.61,2.0,3.0,5.16,3.0,4.0,6.12,3.0,5.0,100878,1158686,1151753,3.45,82.81,11.49,5.0,8.0,4.26,3.0,3.0,6.15,4.0,5.0,7.36,4.0,5.0,52875,389704,388103,3.26,78.15,7.37,4.0,6.0,2.72,2.0,2.0,4.06,3.0,3.0,4.9,4.0,4.0,56398,487683,481111,2.8,67.17,8.65,4.0,7.0,3.54,2.0,2.0,5.04,3.0,4.0,5.96,4.0,5.0,40199,456738,454997,3.72,89.22,11.36,5.0,10.0,3.76,3.0,3.0,5.58,4.0,5.0,6.76,5.0,6.0,,,,,,,,,,,,,,,,,,52524,594211,593237,3.74,89.8,11.31,5.0,9.0,4.04,3.0,4.0,5.85,4.0,5.0,7.01,4.0,6.0,49407,1138320,1136521,4.31,103.51,23.04,9.0,18.0,6.92,5.0,7.0,10.2,7.0,10.0,12.47,8.0,12.0,,,,,,,,,,,,,,,,,
labs,alt,U/L,,,,,,,,,,,,,,,,,,62770,285767,282927,3.68,88.35,4.55,2.0,3.0,1.7,1.0,1.0,2.42,2.0,2.0,2.87,2.0,2.0,87602,568599,566281,3.85,92.4,6.49,3.0,5.0,2.3,2.0,2.0,3.35,2.0,3.0,4.04,3.0,4.0,39025,196142,194921,3.69,88.52,5.03,2.0,4.0,1.92,1.0,1.0,2.74,2.0,2.0,3.28,2.0,3.0,28759,89337,89128,3.51,84.27,3.11,1.0,2.0,1.59,1.0,1.0,2.04,1.0,1.0,2.31,1.0,2.0,24283,128358,128131,4.7,112.74,5.29,2.0,4.0,1.84,1.0,1.0,2.63,2.0,2.0,3.16,2.0,3.0,,,,,,,,,,,,,,,,,,37269,175199,175087,4.39,105.33,4.7,2.0,4.0,1.68,1.0,1.0,2.43,2.0,2.0,2.91,2.0,2.0,13558,96351,96250,5.33,127.84,7.11,3.0,6.0,2.11,2.0,2.0,3.08,2.0,3.0,3.79,3.0,4.0,,,,,,,,,,,,,,,,,
labs,ph_arterial,(no units),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21163,143053,142070,4.19,100.49,6.76,2.0,5.0,2.94,2.0,2.0,3.86,2.0,3.0,4.44,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25341,201424,200829,5.16,123.73,7.95,3.0,5.0,3.25,2.0,3.0,4.28,2.0,4.0,4.95,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labs,so2_central_venous,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4894,40680,40410,6.16,147.73,8.31,5.0,8.0,3.95,4.0,5.0,5.44,4.0,6.0,6.4,4.0,8.0,4803,27740,27722,5.72,137.3,5.78,2.0,5.0,2.01,1.0,1.0,3.06,2.0,3.0,3.76,2.0,4.0,3147,14820,14817,5.2,124.74,4.71,2.0,4.0,2.13,1.0,2.0,2.81,2.0,3.0,3.21,2.0,3.0,100,191,191,5.75,137.92,1.91,1.0,2.0,0.75,0.0,1.0,1.27,1.0,2.0,1.48,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3553,8684,8277,7.88,189.11,2.44,1.0,1.0,0.9,1.0,1.0,1.36,1.0,1.0,1.65,1.0,0.0
