value,emory_probability,nu_probability,ohsu_probability,ucmc_probability
0.0,,0.005352866600929708,,
1.0,0.009537434430138292,0.015072545428933652,0.04834761321909425,0.0005379236148466917
2.0,0.025274201239866477,0.06324834483730103,0.06670746634026928,0.05029585798816568
3.0,0.037672865999046255,0.07240456402310184,0.08384332925336598,0.05755782678859602
4.0,0.050548402479732954,0.0812790533878011,0.09730722154222766,0.06777837547068316
5.0,0.06676204101096805,0.12339766164248486,0.11444308445532436,0.07530930607853685
6.0,0.08631378159275155,0.13184955627553177,0.13525091799265607,0.0814954276492738
7.0,0.10968049594659036,0.14114664037188338,0.14932680538555693,0.08983324367939753
8.0,0.12732474964234622,0.16974221721369206,0.16340269277845776,0.10086067778375471
9.0,0.14783023366714354,0.17692632765178193,0.18421052631578946,0.10973641742872513
10.0,0.16499761564139245,0.18988589942245387,0.20563035495716034,0.11968800430338893
11.0,0.18359561278016215,0.21622763769545006,0.22031823745410037,0.12560516406670252
12.0,0.20076299475441106,0.22327088322298916,0.2331701346389229,0.1347498655190963
13.0,0.21030042918454936,0.23214537258768841,0.2484700122399021,0.14147391070467993
14.0,0.22556032427277062,0.2546837582758135,0.2582619339045288,0.150080688542227
15.0,0.23891273247496422,0.26538949147767293,0.27050183598531213,0.15814954276492738
16.0,0.25131139723414403,0.2829976052965206,0.2802937576499388,0.16729424421732114
17.0,0.2608488316642823,0.29229468939287223,0.29069767441860467,0.17509413663259818
18.0,0.2761087267525036,0.30046485420481756,0.3011015911872705,0.1834319526627219
19.0,0.2918454935622318,0.31821383293421607,0.30660954712362304,0.19123184507799892
20.0,0.30376728659990465,0.32751091703056767,0.3164014687882497,0.20010758472296933
21.0,0.31711969480209823,0.33539935202141147,0.33108935128518974,0.2097902097902098
22.0,0.33047210300429186,0.3523031412875053,0.34210526315789475,0.21543840774610004
23.0,0.3457319980925131,0.3575151429778842,0.35495716034271724,0.2221624529316837
24.0,0.3605150214592275,0.3714607691224116,0.37209302325581395,0.228617536309844
25.0,0.3752980448259418,0.3793492041132554,0.3806609547123623,0.2380311995696611
26.0,0.38531235097758704,0.38427947598253276,0.3929008567931457,0.2455621301775148
27.0,0.39628040057224606,0.39991548105366953,0.40514075887392903,0.2538999462076385
28.0,0.40867906533142584,0.4045640231018453,0.4149326805385557,0.2584722969338354
29.0,0.4172627563185503,0.4175235948725173,0.4314565483476132,0.26627218934911245
30.0,0.4253695755841679,0.42991970700098603,0.4412484700122399,0.27326519634211943
31.0,0.4368144969003338,0.43513170869136497,0.45165238678090575,0.27972027972027974
32.0,0.44635193133047213,0.44935906465699393,0.46266829865361075,0.2867132867132867
33.0,0.4558893657606104,0.45400760670516976,0.47429620563035496,0.29155459924690696
34.0,0.46447305674773487,0.46626285392308775,0.48164014687882495,0.2972027972027972
35.0,0.47305674773485934,0.4720383152556698,0.49265605875153,0.3023130715438408
36.0,0.4825941821649976,0.4835892379208339,0.4981640146878825,0.30984400215169444
37.0,0.49356223175965663,0.4947175658543457,0.5104039167686658,0.3144163528778913
38.0,0.5035765379113019,0.49978870263417385,0.5195838433292533,0.32167832167832167
39.0,0.5121602288984263,0.5096492463727286,0.5293757649938801,0.3265196342119419
40.0,0.5212207916070577,0.5168333568108184,0.5410036719706243,0.3329747175901022
41.0,0.5312350977587029,0.5265530356388224,0.5483476132190942,0.34131253362022596
42.0,0.5383881735813066,0.5373996337512326,0.5605875152998776,0.34857450242065624
43.0,0.5484024797329519,0.54232990562051,0.5697674418604651,0.3531468531468531
44.0,0.5569861707200763,0.5502183406113537,0.5777233782129743,0.35960193652501343
45.0,0.5679542203147353,0.5564163966755881,0.5881272949816402,0.3674018289402905
46.0,0.5717691940867906,0.5690942386251585,0.594859241126071,0.3738569123184508
47.0,0.5793991416309013,0.5772644034371038,0.6046511627906976,0.3805809575040344
48.0,0.5894134477825465,0.5807860262008734,0.6162790697674418,0.3873050026896181
49.0,0.5994277539341917,0.5889561910128187,0.6236230110159119,0.392684238838085
50.0,0.6075345731998093,0.5961403014509086,0.6328029375764994,0.3991393222162453
51.0,0.619933237958989,0.6036061417101,0.6376988984088128,0.4050564819795589
52.0,0.6342393896041965,0.6074094942949712,0.642594859241126,0.4120494889725659
53.0,0.6452074391988555,0.615861388928018,0.6511627906976745,0.41984938138784295
54.0,0.65379113018598,0.6241724186505142,0.6634026927784578,0.43114577729962344
55.0,0.6609442060085837,0.6303704747147486,0.6738066095471236,0.43571812802582033
56.0,0.6671435383881735,0.6396675588111002,0.6799265605875153,0.442442173211404
57.0,0.6776347162613257,0.6438935061276236,0.6872705018359853,0.4518558364712211
58.0,0.681926561754888,0.651359346386815,0.6940024479804161,0.4583109198493814
59.0,0.6895565092989986,0.659811241019862,0.6976744186046512,0.46395911780527166
60.0,0.6967095851216023,0.6653049725313425,0.7025703794369645,0.471221086605702
61.0,0.7086313781592751,0.6747429215382448,0.7086903304773562,0.4757934373318989
62.0,0.7143538388173581,0.6774193548387096,0.7172582619339045,0.48144163528778916
63.0,0.7243681449690034,0.6872798985772645,0.7246022031823746,0.48951048951048953
64.0,0.7339055793991416,0.6913649809832371,0.7313341493268054,0.4946207638515331
65.0,0.7391511683357177,0.6993942808846316,0.7350061199510404,0.5013448090371168
66.0,0.7458273724368145,0.705592336948866,0.7441860465116279,0.5064550833781603
67.0,0.7496423462088698,0.7081279053387801,0.7545899632802937,0.5145239376008607
68.0,0.7567954220314735,0.714607691224116,0.7582619339045288,0.5201721355567509
69.0,0.7606103958035288,0.7174249894351317,0.7607099143206855,0.5260892953200645
70.0,0.7649022412970911,0.7244682349626708,0.7649938800489596,0.5311995696611082
71.0,0.771101573676681,0.7293985068319482,0.7717258261933905,0.535771920387305
72.0,0.7796852646638054,0.7312297506691083,0.7802937576499388,0.541151156535772
73.0,0.78206962327134,0.7361600225383856,0.7876376988984088,0.5481441635287789
74.0,0.7901764425369575,0.7388364558388505,0.7943696450428397,0.5529854760623991
75.0,0.793037672865999,0.7467248908296943,0.802937576499388,0.5597095212479828
76.0,0.798760133524082,0.7527820819833779,0.8096695226438189,0.5672404518558365
77.0,0.804959465903672,0.7555993801943935,0.8170134638922889,0.5742334588488435
78.0,0.8106819265617549,0.7612339766164249,0.8219094247246022,0.5801506186121571
79.0,0.8168812589413448,0.7636286800957881,0.8268053855569155,0.5849919311457773
80.0,0.8221268478779208,0.7702493308916749,0.8329253365973073,0.5887573964497042
81.0,0.8278493085360038,0.7723623045499366,0.8384332925336597,0.5981710597095212
82.0,0.8335717691940868,0.7784194957036202,0.8421052631578947,0.6046261430876816
83.0,0.8402479732951836,0.7826454430201437,0.8488372093023255,0.6102743410435718
84.0,0.8459704339532665,0.7850401464995069,0.8525091799265606,0.6164604626143088
85.0,0.8502622794468288,0.7918016622059445,0.8586291309669523,0.6204948897256589
86.0,0.8545541249403911,0.7944780955064094,0.8616891064871481,0.6247982786444325
87.0,0.8607534573199809,0.7992675024651359,0.8690330477356181,0.6301775147928994
88.0,0.8669527896995708,0.8037751796027609,0.8745410036719706,0.6363636363636364
89.0,0.8736289938006676,0.8056064234399212,0.8776009791921665,0.6428187197417967
90.0,0.8793514544587506,0.8116636145936047,0.8800489596083231,0.6479289940828402
91.0,0.8831664282308059,0.8150443724468235,0.8873929008567931,0.6525013448090371
92.0,0.8898426323319027,0.8188477250316946,0.8898408812729498,0.6573426573426573
93.0,0.8922269909394372,0.8208198337794056,0.8910648714810282,0.6632598171059709
94.0,0.8974725798760134,0.8243414565431751,0.8935128518971848,0.6715976331360947
95.0,0.899856938483548,0.8299760529652064,0.8990208078335373,0.6734803657880581
96.0,0.9022412970910825,0.8312438371601634,0.9026927784577723,0.6793975255513717
97.0,0.9060562708631378,0.83603324411889,0.9063647490820074,0.6839698762775686
98.0,0.9103481163567001,0.8392731370615579,0.9112607099143207,0.6890801506186122
99.0,0.9132093466857415,0.8419495703620228,0.9130966952264382,0.6944593867670791
100.0,0.9165474487362899,0.8465981124101987,0.916156670746634,0.6984938138784292
101.0,0.9232236528373867,0.8475841667840541,0.9192166462668299,0.7041420118343196
102.0,0.9284692417739628,0.850824059726722,0.9216646266829865,0.7100591715976331
103.0,0.9313304721030042,0.8519509790111284,0.9247246022031824,0.7165142549757935
104.0,0.9337148307105388,0.856036061417101,0.9265605875152999,0.7218934911242604
105.0,0.9360991893180735,0.8602620087336245,0.9290085679314566,0.7272727272727273
106.0,0.9384835479256081,0.8616706578391323,0.9320685434516524,0.7315761161915008
107.0,0.9427753934191703,0.8656148753345542,0.9363525091799265,0.735610543302851
108.0,0.9451597520267048,0.8702634173827299,0.9406364749082007,0.7401828940290479
109.0,0.9484978540772532,0.8733624454148472,0.9424724602203183,0.7447552447552448
110.0,0.9508822126847878,0.877306662910269,0.944920440636475,0.750403442711135
111.0,0.95517405817835,0.8798422313001831,0.9467564259485924,0.7547068316299086
112.0,0.9589890319504053,0.8828003944217495,0.9498164014687882,0.7608929532006455
113.0,0.9623271340009537,0.8858994224538668,0.9516523867809058,0.7673480365788058
114.0,0.9632808774439676,0.8894210452176363,0.9528763769889841,0.7762237762237763
115.0,0.966142107773009,0.8935061276236089,0.956548347613219,0.78375470683163
116.0,0.9690033381020505,0.8956191012818707,0.9571603427172583,0.7888649811726735
117.0,0.9694802098235574,0.8997041836878433,0.9577723378212974,0.7969338353953739
118.0,0.971864568431092,0.9036484011832653,0.9589963280293757,0.8058095750403442
119.0,0.9728183118741058,0.9060431046626285,0.9596083231334149,0.8133405056481979
120.0,0.9752026704816404,0.9344978165938864,1.0,1.0
121.0,0.978063900810682,0.9359064656993943,,
122.0,0.9814020028612304,0.9390054937315114,,
123.0,0.9828326180257511,0.9408367375686717,,
124.0,0.9842632331902719,0.9428088463163826,,
125.0,0.9871244635193133,0.9449218199746443,,
126.0,0.989031950405341,0.9467530638118045,,
127.0,0.9899856938483548,0.9481617129173123,,
128.0,0.9909394372913686,0.9504155514861248,,
129.0,0.9918931807343825,0.9522467953232849,,
130.0,1.0,0.9566136075503592,,
131.0,,0.9585857162980701,,
132.0,,0.9616847443301874,,
133.0,,0.9640794478095507,,
134.0,,0.9666150161994647,,
135.0,,0.9691505845893787,,
136.0,,0.9718270178898436,,
137.0,,0.9747851810114101,,
138.0,,0.9763346950274686,,
139.0,,0.9788702634173827,,
140.0,,0.9843639949288632,,
141.0,,0.9861952387660233,,
142.0,,0.9881673475137344,,
143.0,,0.9895759966192421,,
144.0,,0.9912663755458515,,
145.0,,0.996760107057332,,
146.0,,0.9976052965206367,,
147.0,,0.9981687561628398,,
148.0,,0.998732215805043,,
149.0,,0.9992956754472461,,
150.0,,0.9997182701788985,,
151.0,,1.0,,
